"","Name","Notes","team"
"1","Murali Vijay","","CSK"
"2","Suresh Raina","Vice-captain","CSK"
"3","Ambati Rayudu","","CSK"
"4","Faf du Plessis","Overseas","CSK"
"5","Kedar Jadhav","","CSK"
"6","Ruturaj Gaikwad","","CSK"
"7","Ravindra Jadeja","","CSK"
"8","Shane Watson","Overseas","CSK"
"9","Karn Sharma","","CSK"
"10","Dwayne Bravo","Overseas","CSK"
"11","Mitchell Santner","Overseas","CSK"
"12","Sam Curran","Overseas","CSK"
"13","MS Dhoni","Captain","CSK"
"14","Narayan Jagadeesan","","CSK"
"15","Lungi Ngidi","Overseas","CSK"
"16","Monu Kumar","","CSK"
"17","KM Asif","","CSK"
"18","Harbhajan Singh","","CSK"
"19","Shardul Thakur","","CSK"
"20","Deepak Chahar","","CSK"
"21","Imran Tahir","Overseas","CSK"
"22","Piyush Chawla","","CSK"
"23","Josh Hazlewood","Overseas","CSK"
"24","R Sai Kishore","","CSK"
"25","Anmolpreet Singh","","MI"
"26","Rohit Sharma","Captain","MI"
"27","Suryakumar Yadav","","MI"
"28","Chris Lynn","Overseas","MI"
"29","Saurabh Tiwary","","MI"
"30","Anukul Roy","","MI"
"31","Jayant Yadav","","MI"
"32","Krunal Pandya","","MI"
"33","Hardik Pandya","","MI"
"34","Kieron Pollard","Overseas","MI"
"35","Sherfane Rutherford","Overseas","MI"
"36","Prince Balwant Rai Singh","","MI"
"37","Quinton de Kock","Overseas","MI"
"38","Aditya Tare","","MI"
"39","Ishan Kishan","","MI"
"40","Rahul Chahar","","MI"
"41","Mitchell McClenaghan","Overseas","MI"
"42","Jasprit Bumrah","","MI"
"43","Lasith Malinga","Overseas","MI"
"44","Trent Boult","Overseas","MI"
"45","Dhawal Kulkarni","","MI"
"46","Nathan Coulter-Nile","Overseas","MI"
"47","Mohsin Khan","","MI"
"48","Digvijay Deshmukh","","MI"
"49","Shikhar Dhawan","","DC"
"50","Shreyas Iyer","Captain","DC"
"51","Prithvi Shaw","","DC"
"52","Ajinkya Rahane","","DC"
"53","Jason Roy","Overseas","DC"
"54","Shimron Hetmyer","Overseas","DC"
"55","Harshal Patel","","DC"
"56","Axar Patel","","DC"
"57","Keemo Paul","Overseas","DC"
"58","Chris Woakes","Overseas","DC"
