,Name,Notes,team,type
0,Batsmen,Batsmen,CSK,
1,Murali Vijay,,CSK,Batsman
2,Suresh Raina,Vice-captain,CSK,Batsman
3,Ambati Rayudu,,CSK,Batsman
4,Faf du Plessis,Overseas,CSK,Batsman
5,Kedar Jadhav,,CSK,Batsman
6,Ruturaj Gaikwad,,CSK,Batsman
7,All-rounders,All-rounders,CSK,Batsman
8,Ravindra Jadeja,,CSK,All-Rounder
9,Shane Watson,Overseas,CSK,All-Rounder
10,Karn Sharma,,CSK,All-Rounder
11,Dwayne Bravo,Overseas,CSK,All-Rounder
12,Mitchell Santner,Overseas,CSK,All-Rounder
13,Sam Curran,Overseas,CSK,All-Rounder
14,Wicket-keepers,Wicket-keepers,CSK,All-Rounder
15,MS Dhoni,Captain,CSK,Wicket Keeper
16,Narayan Jagadeesan,,CSK,Wicket Keeper
17,Bowlers,Bowlers,CSK,Wicket Keeper
18,Lungi Ngidi,Overseas,CSK,Bowler
19,Monu Kumar,,CSK,Bowler
20,KM Asif,,CSK,Bowler
21,Harbhajan Singh,,CSK,Bowler
22,Shardul Thakur,,CSK,Bowler
23,Deepak Chahar,,CSK,Bowler
24,Imran Tahir,Overseas,CSK,Bowler
25,Piyush Chawla,,CSK,Bowler
26,Josh Hazlewood,Overseas,CSK,Bowler
27,R Sai Kishore,,CSK,Bowler
28,Batsmen,Batsmen,MI,Bowler
29,Anmolpreet Singh,,MI,Batsman
30,Rohit Sharma,Captain,MI,Batsman
31,Suryakumar Yadav,,MI,Batsman
32,Chris Lynn,Overseas,MI,Batsman
33,Saurabh Tiwary,,MI,Batsman
34,All-rounders,All-rounders,MI,Batsman
35,Anukul Roy,,MI,All-Rounder
36,Jayant Yadav,,MI,All-Rounder
37,Krunal Pandya,,MI,All-Rounder
38,Hardik Pandya,,MI,All-Rounder
39,Kieron Pollard,Overseas,MI,All-Rounder
40,Sherfane Rutherford,Overseas,MI,All-Rounder
41,Prince Balwant Rai Singh,,MI,All-Rounder
42,Wicket-keepers,Wicket-keepers,MI,All-Rounder
43,Quinton de Kock,Overseas,MI,Wicket Keeper
44,Aditya Tare,,MI,Wicket Keeper
45,Ishan Kishan,,MI,Wicket Keeper
46,Bowlers,Bowlers,MI,Wicket Keeper
47,Rahul Chahar,,MI,Bowler
48,Mitchell McClenaghan,Overseas,MI,Bowler
49,Jasprit Bumrah,,MI,Bowler
50,Lasith Malinga,Overseas,MI,Bowler
51,Trent Boult,Overseas,MI,Bowler
52,Dhawal Kulkarni,,MI,Bowler
53,Nathan Coulter-Nile,Overseas,MI,Bowler
54,Mohsin Khan,,MI,Bowler
55,Digvijay Deshmukh,,MI,Bowler
56,Batsmen,Batsmen,DC,Bowler
57,Shikhar Dhawan,,DC,Batsman
58,Shreyas Iyer,Captain,DC,Batsman
59,Prithvi Shaw,,DC,Batsman
60,Ajinkya Rahane,,DC,Batsman
61,Jason Roy,Overseas,DC,Batsman
62,Shimron Hetmyer,Overseas,DC,Batsman
