Name,Notes,team,type
Batsmen,Batsmen,CSK,
Murali Vijay,,CSK,
Suresh Raina,Vice-captain,CSK,
Ambati Rayudu,,CSK,
Faf du Plessis,Overseas,CSK,
Kedar Jadhav,,CSK,
Ruturaj Gaikwad,,CSK,
All-rounders,All-rounders,CSK,
Ravindra Jadeja,,CSK,
Shane Watson,Overseas,CSK,
Karn Sharma,,CSK,
Dwayne Bravo,Overseas,CSK,
Mitchell Santner,Overseas,CSK,
Sam Curran,Overseas,CSK,
Wicket-keepers,Wicket-keepers,CSK,
MS Dhoni,Captain,CSK,
Narayan Jagadeesan,,CSK,
Bowlers,Bowlers,CSK,
Lungi Ngidi,Overseas,CSK,
Monu Kumar,,CSK,
KM Asif,,CSK,
Harbhajan Singh,,CSK,
Shardul Thakur,,CSK,
Deepak Chahar,,CSK,
Imran Tahir,Overseas,CSK,
Piyush Chawla,,CSK,
Josh Hazlewood,Overseas,CSK,
R Sai Kishore,,CSK,
Batsmen,Batsmen,MI,
Anmolpreet Singh,,MI,
Rohit Sharma,Captain,MI,
Suryakumar Yadav,,MI,
Chris Lynn,Overseas,MI,
Saurabh Tiwary,,MI,
All-rounders,All-rounders,MI,
Anukul Roy,,MI,
Jayant Yadav,,MI,
Krunal Pandya,,MI,
Hardik Pandya,,MI,
Kieron Pollard,Overseas,MI,
Sherfane Rutherford,Overseas,MI,
Prince Balwant Rai Singh,,MI,
Wicket-keepers,Wicket-keepers,MI,
Quinton de Kock,Overseas,MI,
Aditya Tare,,MI,
Ishan Kishan,,MI,
Bowlers,Bowlers,MI,
Rahul Chahar,,MI,
Mitchell McClenaghan,Overseas,MI,
Jasprit Bumrah,,MI,
Lasith Malinga,Overseas,MI,
Trent Boult,Overseas,MI,
Dhawal Kulkarni,,MI,
Nathan Coulter-Nile,Overseas,MI,
Mohsin Khan,,MI,
Digvijay Deshmukh,,MI,
Batsmen,Batsmen,DC,
Shikhar Dhawan,,DC,
Shreyas Iyer,Captain,DC,
Prithvi Shaw,,DC,
Ajinkya Rahane,,DC,
Jason Roy,Overseas,DC,
Shimron Hetmyer,Overseas,DC,
All-rounders,All-rounders,DC,
Harshal Patel,,DC,
Axar Patel,,DC,
Keemo Paul,Overseas,DC,
Chris Woakes,Overseas,DC,
Marcus Stoinis,Overseas,DC,
Lalit Yadav,,DC,
Wicket-keepers,Wicket-keepers,DC,
Rishabh Pant,,DC,
Alex Carey,Overseas,DC,
Bowlers,Bowlers,DC,
Sandeep Lamichhane,Overseas,DC,
Avesh Khan,,DC,
Kagiso Rabada,Overseas,DC,
Ishant Sharma,,DC,
Amit Mishra,,DC,
Ravichandran Ashwin,,DC,
Mohit Sharma,,DC,
Tushar Deshpande,,DC,
Batsmen,Batsmen,SRH,
Manish Pandey,,SRH,
Kane Williamson,"Captain, Overseas",SRH,
David Warner,Overseas,SRH,
Virat Singh,,SRH,
Priyam Garg,,SRH,
All-rounders,All-rounders,SRH,
Mohammad Nabi,Overseas,SRH,
Abhishek Sharma,,SRH,
Vijay Shankar,,SRH,
Mitchell Marsh,Overseas,SRH,
Bavanaka Sandeep,,SRH,
Fabian Allen,Overseas,SRH,
Abdul Samad,,SRH,
Sanjay Yadav,,SRH,
Wicket-keepers,Wicket-keepers,SRH,
Shreevats Goswami,,SRH,
Wriddhiman Saha,,SRH,
Jonny Bairstow,Overseas,SRH,
Bowlers,Bowlers,SRH,
Shahbaz Nadeem,,SRH,
Siddarth Kaul,,SRH,
Bhuvneshwar Kumar,,SRH,
Rashid Khan,Overseas,SRH,
Khaleel Ahmed,,SRH,
Basil Thampi,,SRH,
Billy Stanlake,Overseas,SRH,
Thangarasu Natarajan,,SRH,
Sandeep Sharma,,SRH,
Batsmen,Batsmen,KXIP,
Shikhar Dhawan,,KXIP,
Shreyas Iyer,Captain,KXIP,
Prithvi Shaw,,KXIP,
Ajinkya Rahane,,KXIP,
Jason Roy,Overseas,KXIP,
Shimron Hetmyer,Overseas,KXIP,
All-rounders,All-rounders,KXIP,
Harshal Patel,,KXIP,
Axar Patel,,KXIP,
Keemo Paul,Overseas,KXIP,
Chris Woakes,Overseas,KXIP,
Marcus Stoinis,Overseas,KXIP,
Lalit Yadav,,KXIP,
Wicket-keepers,Wicket-keepers,KXIP,
Rishabh Pant,,KXIP,
Alex Carey,Overseas,KXIP,
Bowlers,Bowlers,KXIP,
Sandeep Lamichhane,Overseas,KXIP,
Avesh Khan,,KXIP,
Kagiso Rabada,Overseas,KXIP,
Ishant Sharma,,KXIP,
Amit Mishra,,KXIP,
Ravichandran Ashwin,,KXIP,
Mohit Sharma,,KXIP,
Tushar Deshpande,,KXIP,
Batsmen,Batsmen,RR,
Manan Vohra,,RR,
Shashank Singh,,RR,
Steve Smith,Overseas; Captain,RR,
David Miller,Overseas,RR,
All-rounders,All-rounders,RR,
Riyan Parag,,RR,
Mahipal Lomror,,RR,
Shreyas Gopal,,RR,
Ben Stokes,Overseas,RR,
Rahul Tewatia,,RR,
Yashasvi Jaiswal,,RR,
Aniruddha Joshi,,RR,
Wicket-keepers,Wicket-keepers,RR,
Sanju Samson,,RR,
Jos Buttler,Overseas,RR,
Robin Uthappa,,RR,
Anuj Rawat,,RR,
Bowlers,Bowlers,RR,
Jofra Archer,Overseas,RR,
Jaydev Unadkat,,RR,
Varun Aaron,,RR,
Andrew Tye,Overseas,RR,
Tom Curran,Overseas,RR,
Oshane Thomas,Overseas,RR,
Ankit Rajpoot,,RR,
Akash Singh,,RR,
Kartik Tyagi,,RR,
Mayank Markande,,RR,
Batsmen,Batsmen,RCB,
AB de Villiers,"Overseas, Vice-captain",RCB,
Virat Kohli,Captain,RCB,
Gurkeerat Singh,Occasional wicket-keeper,RCB,
Devdutt Padikkal,,RCB,
Aaron Finch,Overseas,RCB,
All-rounders,All-rounders,RCB,
Shivam Dube,,RCB,
Moeen Ali,Overseas,RCB,
Pawan Negi,,RCB,
Washington Sundar,,RCB,
Chris Morris,Overseas,RCB,
Pavan Deshpande,,RCB,
Wicket-keepers,Wicket-keepers,RCB,
Parthiv Patel,,RCB,
Josh Philippe,,RCB,
Bowlers,Bowlers,RCB,
Yuzvendra Chahal,,RCB,
Mohammed Siraj,,RCB,
Umesh Yadav,,RCB,
Navdeep Saini,,RCB,
Kane Richardson,Overseas,RCB,
Dale Steyn,Overseas,RCB,
Shahbaz Nadeem,,RCB,
Isuru Udana,Overseas,RCB,
Batsmen,Batsmen,KKR,
Nitish Rana,,KKR,
Rinku Singh,,KKR,
Shubman Gill,,KKR,
Eoin Morgan,Overseas,KKR,
Siddhesh Lad,,KKR,
Rahul Tripathi,,KKR,
All-rounders,All-rounders,KKR,
Andre Russell,Overseas,KKR,
Sunil Narine,Overseas,KKR,
Kamlesh Nagarkoti,,KKR,
Chris Green,Overseas,KKR,
Wicket-keepers,Wicket-keepers,KKR,
Dinesh Karthik,Captain,KKR,
Tom Banton,Overseas,KKR,
Nikhil Naik,,KKR,
Bowlers,Bowlers,KKR,
Harry Gurney,Overseas,KKR,
Kuldeep Yadav,,KKR,
Shivam Mavi,,KKR,
Prasidh Krishna,,KKR,
Sandeep Warrier,,KKR,
Lockie Ferguson,Overseas,KKR,
Pat Cummins,Overseas,KKR,
Varun Chakravarthy,,KKR,
Manimaran Siddharth,,KKR,
Pravin Tambe,,KKR,
