"","X","No.","Name","Nat","Birth.date","Batting.style","Bowling.style","Signed.year","Salary","Notesvte"
"1",1,"Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen"
"2",2,"27","Nitish Rana","","(1993-12-27) 27 December 1993 (age 25)","Left-handed","Right-arm off break","2018","<U+20B9>3.4 crore (US$492,000)",""
"3",3,"35","Rinku Singh","","(1997-10-12) 12 October 1997 (age 22)","Left-handed","Right-arm off break","2018","<U+20B9>80 lakh (US$116,000)",""
"4",4,"77","Shubman Gill","","(1999-09-08) 8 September 1999 (age 20)","Right-handed","Right-arm off break","2018","<U+20B9>1.8 crore (US$260,000)",""
"5",5,"N/A","Eoin Morgan","","(1986-09-10) 10 September 1986 (age 33)","Left-handed","Right-arm medium","2020","<U+20B9>5.25 crore (US$759,000)","Overseas"
"6",6,"N/A","Siddhesh Lad","","(1992-05-23) 23 May 1992 (age 27)","Right-handed","Right-arm off-break","2020","<U+20B9>20 lakh (US$29,000)",""
"7",7,"N/A","Rahul Tripathi","","(1991-03-02) 2 March 1991 (age 28)","Right-handed","Right-arm fast medium","2020","<U+20B9>60 lakh (US$87,000)",""
"8",8,"All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders"
"9",9,"12","Andre Russell","","(1988-04-29) 29 April 1988 (age 31)","Right-handed","Right-arm fast-medium","2018","<U+20B9>7 crore (US$1.0 million)","Overseas"
"10",10,"74","Sunil Narine","","(1988-05-26) 26 May 1988 (age 31)","Left-handed","Right-arm off break","2018","<U+20B9>8.5 crore (US$1.2 million)","Overseas"
"11",11,"N/A","Kamlesh Nagarkoti","","(1999-12-28) 28 December 1999 (age 19)","Right-handed","Right-arm fast","2018","<U+20B9>3.2 crore (US$463,000)",""
"12",12,"N/A","Chris Green","","(1993-10-01) 1 October 1993 (age 26)","Right-handed","Right-arm off-break","2020","<U+20B9>20 lakh (US$29,000)","Overseas"
"13",13,"Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers"
"14",14,"19","Dinesh Karthik","","(1985-06-01) 1 June 1985 (age 34)","Right-handed","Right-arm off break","2018","<U+20B9>7.4 crore (US$1.1 million)","Captain"
"15",15,"N/A","Tom Banton","","(1998-11-11) 11 November 1998 (age 21)","Right-handed","Right-arm off break","2020","<U+20B9>1 crore (US$145,000)","Overseas"
"16",16,"N/A","Nikhil Naik","","(1994-11-09) 9 November 1994 (age 25)","Right-handed","Right-arm off break","2020","<U+20B9>20 lakh (US$29,000)",""
"17",17,"Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers"
"18",18,"11","Harry Gurney","","(1986-10-25) 25 October 1986 (age 33)","Right-handed","Left-arm fast-medium","2019","<U+20B9>75 lakh (US$110,000)","Overseas"
"19",19,"23","Kuldeep Yadav","","(1994-12-14) 14 December 1994 (age 25)","Left-handed","Slow left arm chinaman","2018","<U+20B9>5.8 crore (US$839,000)",""
"20",20,"32","Shivam Mavi","","(1998-11-26) 26 November 1998 (age 21)","Right-handed","Right-arm fast-medium","2018","<U+20B9>3 crore (US$434,000)",""
"21",21,"43","Prasidh Krishna","","(1996-02-19) 19 February 1996 (age 23)","Right-handed","Right-arm fast-medium","2018","<U+20B9>20 lakh (US$29,000)",""
"22",22,"63","Sandeep Warrier","","(1991-04-04) 4 April 1991 (age 28)","Right-handed","Right-arm medium-fast","2019","<U+20B9>20 lakh (US$29,000)",""
"23",23,"69","Lockie Ferguson","","(1991-06-13) 13 June 1991 (age 28)","Right-handed","Right-arm fast","2019","<U+20B9>1.6 crore (US$230,000)","Overseas"
"24",24,"N/A","Pat Cummins","","(1993-05-08) 8 May 1993 (age 26)","Right-handed","Right-arm fast","2020","<U+20B9>15.5 crore (US$2.2 million)","Overseas"
"25",25,"N/A","Varun Chakravarthy","","(1991-08-29) 29 August 1991 (age 28)","Right-handed","Right-arm leg break","2020","<U+20B9>4 crore (US$580,000)",""
"26",26,"N/A","Manimaran Siddharth","","(1998-07-03) 3 July 1998 (age 21)","Right-handed","Left-arm orthodox","2020","<U+20B9>20 lakh (US$29,000)",""
"27",27,"N/A","Pravin Tambe","","(1971-10-08) 8 October 1971 (age 48)","Right-handed","Right-arm leg break","2020","<U+20B9>20 lakh (US$29,000)",""
