"","X","No.","Name","Nat","Birth.date","Batting.style","Bowling.style","Signed.year","Salary","Notesvte"
"1",1,"Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen"
"2",2,"28","Anmolpreet Singh","","(1998-03-28) 28 March 1998 (age 21)","Right-handed","Right-arm off break","2019","<U+20B9>80 lakh (US$116,000)",""
"3",3,"45","Rohit Sharma","","(1987-04-30) 30 April 1987 (age 32)","Right-handed","Right-arm off break","2018","<U+20B9>15 crore (US$2.2 million)","Captain"
"4",4,"77","Suryakumar Yadav","","(1990-09-14) 14 September 1990 (age 29)","Right-handed","Right-arm medium","2018","<U+20B9>3.2 crore (US$463,000)",""
"5",5,"N/A","Chris Lynn","","(1990-04-10) 10 April 1990 (age 29)","Right-handed","Slow left-arm orthodox","2020","<U+20B9>2 crore (US$289,000)","Overseas"
"6",6,"N/A","Saurabh Tiwary","","(1989-12-30) 30 December 1989 (age 29)","Left-handed","Right-arm off break","2020","<U+20B9>50 lakh (US$72,000)",""
"7",7,"All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders"
"8",8,"6","Anukul Roy","","(1998-11-30) 30 November 1998 (age 21)","Left-handed","Slow left-arm orthodox","2018","<U+20B9>20 lakh (US$29,000)",""
"9",9,"19","Jayant Yadav","","(1990-01-22) 22 January 1990 (age 29)","Right-handed","Right-arm off break","2019","<U+20B9>50 lakh (US$72,000)",""
"10",10,"24","Krunal Pandya","","(1991-03-24) 24 March 1991 (age 28)","Left-handed","Slow left-arm orthodox","2018","<U+20B9>8.8 crore (US$1.3 million)",""
"11",11,"33","Hardik Pandya","","(1993-10-11) 11 October 1993 (age 26)","Right-handed","Right-arm medium-fast","2018","<U+20B9>11 crore (US$1.6 million)",""
"12",12,"55","Kieron Pollard","","(1987-05-12) 12 May 1987 (age 32)","Right-handed","Right-arm medium-fast","2018","<U+20B9>5.4 crore (US$781,000)","Overseas"
"13",13,"N/A","Sherfane Rutherford","","(1998-08-15) 15 August 1998 (age 21)","Left-handed","Right-arm fast-medium","2020","<U+20B9>2 crore (US$290,000)","Overseas"
"14",14,"N/A","Prince Balwant Rai Singh","","(1999-05-05) 5 May 1999 (age 20)","Right-handed","Right-arm leg break googly","2020","<U+20B9>20 lakh (US$29,000)",""
"15",15,"Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers"
"16",16,"13","Quinton de Kock","","(1992-12-17) 17 December 1992 (age 27)","Left-handed","","2019","<U+20B9>2.8 crore (US$405,000)","Overseas"
"17",17,"27","Aditya Tare","","(1987-11-07) 7 November 1987 (age 32)","Right-handed","Right-arm off break","2018","<U+20B9>20 lakh (US$29,000)",""
"18",18,"51","Ishan Kishan","","(1998-07-18) 18 July 1998 (age 21)","Left-handed","Left-arm medium","2018","<U+20B9>6.2 crore (US$897,000)",""
"19",19,"Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers"
"20",20,"1","Rahul Chahar","","(1999-08-04) 4 August 1999 (age 20)","Right-handed","Right-arm leg break","2018","<U+20B9>1.9 crore (US$275,000)",""
"21",21,"81","Mitchell McClenaghan","","(1986-06-11) 11 June 1986 (age 33)","Left-handed","Left-arm fast-medium","2018","<U+20B9>1 crore (US$145,000)","Overseas"
"22",22,"93","Jasprit Bumrah","","(1993-12-06) 6 December 1993 (age 26)","Right-handed","Right-arm fast-medium","2018","<U+20B9>7 crore (US$1.0 million)",""
"23",23,"99","Lasith Malinga","","(1983-08-27) 27 August 1983 (age 36)","Right-handed","Right-arm fast","2019","<U+20B9>2 crore (US$289,000)","Overseas"
"24",24,"N/A","Trent Boult","","(1989-07-22) 22 July 1989 (age 30)","Right-handed","Left-arm fast","2020","<U+20B9>2.2 crore (US$320,000)","Overseas"
"25",25,"N/A","Dhawal Kulkarni","","(1988-12-10) 10 December 1988 (age 31)","Right-handed","Right-arm medium-fast","2020","<U+20B9>75 lakh (US$108,000)",""
"26",26,"N/A","Nathan Coulter-Nile","","(1987-10-11) 11 October 1987 (age 32)","Right-handed","Right-arm fast","2020","<U+20B9>8 crore (US$1.2 million)","Overseas"
"27",27,"N/A","Mohsin Khan","","(1998-07-15) 15 July 1998 (age 21)","Left-handed","Left-arm medium-fast","2020","<U+20B9>20 lakh (US$29,000)",""
"28",28,"N/A","Digvijay Deshmukh","","(1998-04-12) 12 April 1998 (age 21)","Right-handed","Right-arm medium-fast","2020","<U+20B9>20 lakh (US$29,000)",""
