id,Name,Notes,team,type
1,Murali Vijay,,CSK,Batsman
2,Suresh Raina,Vice-captain,CSK,Batsman
3,Ambati Rayudu,,CSK,Batsman
4,Faf du Plessis,Overseas,CSK,Batsman
5,Kedar Jadhav,,CSK,Batsman
6,Ruturaj Gaikwad,,CSK,Batsman
7,Ravindra Jadeja,,CSK,All-Rounder
8,Shane Watson,Overseas,CSK,All-Rounder
9,Karn Sharma,,CSK,All-Rounder
10,Dwayne Bravo,Overseas,CSK,All-Rounder
11,Mitchell Santner,Overseas,CSK,All-Rounder
12,Sam Curran,Overseas,CSK,All-Rounder
13,MS Dhoni,Captain,CSK,Wicket Keeper
14,Narayan Jagadeesan,,CSK,Wicket Keeper
15,Lungi Ngidi,Overseas,CSK,Bowler
16,Monu Kumar,,CSK,Bowler
17,KM Asif,,CSK,Bowler
18,Harbhajan Singh,,CSK,Bowler
19,Shardul Thakur,,CSK,Bowler
20,Deepak Chahar,,CSK,Bowler
21,Imran Tahir,Overseas,CSK,Bowler
22,Piyush Chawla,,CSK,Bowler
23,Josh Hazlewood,Overseas,CSK,Bowler
24,R Sai Kishore,,CSK,Bowler
25,Anmolpreet Singh,,MI,Batsman
26,Rohit Sharma,Captain,MI,Batsman
27,Suryakumar Yadav,,MI,Batsman
28,Chris Lynn,Overseas,MI,Batsman
29,Saurabh Tiwary,,MI,Batsman
30,Anukul Roy,,MI,All-Rounder
31,Jayant Yadav,,MI,All-Rounder
32,Krunal Pandya,,MI,All-Rounder
33,Hardik Pandya,,MI,All-Rounder
34,Kieron Pollard,Overseas,MI,All-Rounder
35,Sherfane Rutherford,Overseas,MI,All-Rounder
36,Prince Balwant Rai Singh,,MI,All-Rounder
37,Quinton de Kock,Overseas,MI,Wicket Keeper
38,Aditya Tare,,MI,Wicket Keeper
39,Ishan Kishan,,MI,Wicket Keeper
40,Rahul Chahar,,MI,Bowler
41,Mitchell McClenaghan,Overseas,MI,Bowler
42,Jasprit Bumrah,,MI,Bowler
43,Lasith Malinga,Overseas,MI,Bowler
44,Trent Boult,Overseas,MI,Bowler
45,Dhawal Kulkarni,,MI,Bowler
46,Nathan Coulter-Nile,Overseas,MI,Bowler
47,Mohsin Khan,,MI,Bowler
48,Digvijay Deshmukh,,MI,Bowler
49,Shikhar Dhawan,,DC,Batsman
50,Shreyas Iyer,Captain,DC,Batsman
51,Prithvi Shaw,,DC,Batsman
52,Ajinkya Rahane,,DC,Batsman
53,Jason Roy,Overseas,DC,Batsman
54,Shimron Hetmyer,Overseas,DC,Batsman
55,Harshal Patel,,DC,All-Rounder
56,Axar Patel,,DC,All-Rounder
57,Keemo Paul,Overseas,DC,All-Rounder
58,Chris Woakes,Overseas,DC,All-Rounder
59,Marcus Stoinis,Overseas,DC,All-Rounder
60,Lalit Yadav,,DC,All-Rounder
61,Rishabh Pant,,DC,Wicket Keeper
62,Alex Carey,Overseas,DC,Wicket Keeper
63,Sandeep Lamichhane,Overseas,DC,Bowler
64,Avesh Khan,,DC,Bowler
65,Kagiso Rabada,Overseas,DC,Bowler
66,Ishant Sharma,,DC,Bowler
67,Amit Mishra,,DC,Bowler
68,Ravichandran Ashwin,,DC,Bowler
69,Mohit Sharma,,DC,Bowler
70,Tushar Deshpande,,DC,Bowler
71,Manish Pandey,,SRH,Batsman
72,Kane Williamson,"Captain, Overseas",SRH,Batsman
73,David Warner,Overseas,SRH,Batsman
74,Virat Singh,,SRH,Batsman
75,Priyam Garg,,SRH,Batsman
76,Mohammad Nabi,Overseas,SRH,All-Rounder
77,Abhishek Sharma,,SRH,All-Rounder
78,Vijay Shankar,,SRH,All-Rounder
79,Mitchell Marsh,Overseas,SRH,All-Rounder
80,Bavanaka Sandeep,,SRH,All-Rounder
81,Fabian Allen,Overseas,SRH,All-Rounder
82,Abdul Samad,,SRH,All-Rounder
83,Sanjay Yadav,,SRH,All-Rounder
84,Shreevats Goswami,,SRH,Wicket Keeper
85,Wriddhiman Saha,,SRH,Wicket Keeper
86,Jonny Bairstow,Overseas,SRH,Wicket Keeper
87,Shahbaz Nadeem,,SRH,Bowler
88,Siddarth Kaul,,SRH,Bowler
89,Bhuvneshwar Kumar,,SRH,Bowler
90,Rashid Khan,Overseas,SRH,Bowler
91,Khaleel Ahmed,,SRH,Bowler
92,Basil Thampi,,SRH,Bowler
93,Billy Stanlake,Overseas,SRH,Bowler
94,Thangarasu Natarajan,,SRH,Bowler
95,Sandeep Sharma,,SRH,Bowler
96,Shikhar Dhawan,,KXIP,Batsman
97,Shreyas Iyer,Captain,KXIP,Batsman
98,Prithvi Shaw,,KXIP,Batsman
99,Ajinkya Rahane,,KXIP,Batsman
100,Jason Roy,Overseas,KXIP,Batsman
101,Shimron Hetmyer,Overseas,KXIP,Batsman
102,Harshal Patel,,KXIP,All-Rounder
103,Axar Patel,,KXIP,All-Rounder
104,Keemo Paul,Overseas,KXIP,All-Rounder
