"","X","No.","Name","Nat","Birth.date","Batting.style","Bowling.style","Signed.year","Salary","Notesvte"
"1",1,"Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen"
"2",2,"17","AB de Villiers","","(1984-02-17) 17 February 1984 (age 35)","Right-handed","Right-arm medium","2018","<U+20B9>11 crore (US$1.6 million)","Overseas, Vice-captain"
"3",3,"18","Virat Kohli","","(1988-11-05) 5 November 1988 (age 31)","Right-handed","Right-arm medium","2018","<U+20B9>17 crore (US$2.5 million)","Captain"
"4",4,"29","Gurkeerat Singh","","(1990-06-29) 29 June 1990 (age 29)","Right-handed","Right-arm off break","2019","<U+20B9>50 lakh (US$72,000)","Occasional wicket-keeper"
"5",5,"N/A","Devdutt Padikkal","","(2000-07-07) 7 July 2000 (age 19)","Left-handed","Right-arm off break","2019","<U+20B9>20 lakh (US$29,000)",""
"6",6,"N/A","Aaron Finch","","(1986-11-17) 17 November 1986 (age 33)","Right-handed","Slow left-arm orthodox","2020","<U+20B9>1 crore (US$145,000)","Overseas"
"7",7,"All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders"
"8",8,"7","Shivam Dube","","(1993-06-26) 26 June 1993 (age 26)","Left-handed","Right-arm medium-fast","2019","<U+20B9>5 crore (US$723,000)",""
"9",9,"8","Moeen Ali","","(1987-06-18) 18 June 1987 (age 32)","Left-handed","Right-arm off break","2018","<U+20B9>1.7 crore (US$246,000)","Overseas"
"10",10,"51","Pawan Negi","","(1993-01-06) 6 January 1993 (age 26)","Left-handed","Slow left-arm orthodox","2018","<U+20B9>1 crore (US$145,000)",""
"11",11,"555","Washington Sundar","","(1999-10-05) 5 October 1999 (age 20)","Left-handed","Right-arm off break","2018","<U+20B9>3.2 crore (US$463,000)",""
"12",12,"N/A","Chris Morris","","(1987-04-30) 30 April 1987 (age 32)","Right-handed","Right-arm fast-medium","2018","<U+20B9>10 crore (US$1.4 million)","Overseas"
"13",13,"N/A","Pavan Deshpande","","(1989-09-16) 16 September 1989 (age 30)","Left-handed","Right-arm off break","2020","<U+20B9>20 lakh (US$29,000)",""
"14",14,"Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers"
"15",15,"72","Parthiv Patel","","(1985-03-09) 9 March 1985 (age 34)","Left-handed","","2018","<U+20B9>1.7 crore (US$246,000)",""
"16",16,"N/A","Josh Philippe","","(1997-06-01) 1 June 1997 (age 22)","Right-handed","","2020","<U+20B9>20 lakh (US$29,000)",""
"17",17,"Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers"
"18",18,"3","Yuzvendra Chahal","","(1990-07-23) 23 July 1990 (age 29)","Right-handed","Right-arm leg break","2018","<U+20B9>6 crore (US$868,000)",""
"19",19,"13","Mohammed Siraj","","(1994-03-13) 13 March 1994 (age 25)","Right-handed","Right-arm fast-medium","2018","<U+20B9>2.6 crore (US$376,000)",""
"20",20,"19","Umesh Yadav","","(1987-10-25) 25 October 1987 (age 32)","Right-handed","Right-arm fast-medium","2018","<U+20B9>4.2 crore (US$608,000)",""
"21",21,"23","Navdeep Saini","","(1993-11-23) 23 November 1993 (age 26)","Right-handed","Right-arm fast-medium","2018","<U+20B9>3 crore (US$434,000)",""
"22",22,"N/A","Kane Richardson","","(1991-02-12) 12 February 1991 (age 28)","Right-handed","Right-arm fast-medium","2020","<U+20B9>4 crore (US$579,000)","Overseas"
"23",23,"N/A","Dale Steyn","","(1983-06-27) 27 June 1983 (age 36)","Right-handed","Right-arm fast","2020","<U+20B9>2 crore (US$289,000)","Overseas"
"24",24,"N/A","Shahbaz Nadeem","","(1989-08-12) 12 August 1989 (age 30)","Right-handed","Slow left-arm orthodox","2020","<U+20B9>20 lakh (US$29,000)",""
"25",25,"N/A","Isuru Udana","","(1988-02-17) 17 February 1988 (age 31)","Right-handed","Left-arm fast-medium","2020","<U+20B9>50 lakh (US$72,000)","Overseas"
