"","X","No.","Name","Nat","Birth.date","Batting.style","Bowling.style","Signed.year","Salary","Notesvte"
"1",1,"Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen"
"2",2,"18","Manan Vohra","","(1993-03-18) 18 March 1993 (age 26)","Right-handed","Right-arm medium","2019","<U+20B9>20 lakh (US$29,000)",""
"3",3,"43","Shashank Singh","","(1991-11-21) 21 November 1991 (age 28)","Right-handed","Right-arm off break","2019","<U+20B9>20 lakh (US$29,000)",""
"4",4,"49","Steve Smith","","(1989-06-02) 2 June 1989 (age 30)","Right-handed","Right-arm leg break","2018","<U+20B9>12 crore (US$1.7 million)","Overseas; Captain"
"5",5,"N/A","David Miller","","(1989-06-10) 10 June 1989 (age 30)","Right-handed","Right-arm off break","2020","<U+20B9>75 lakh (US$108,000)","Overseas"
"6",6,"All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders"
"7",7,"5","Riyan Parag","","(2001-11-10) 10 November 2001 (age 18)","Right-handed","Right-arm off break","2019","<U+20B9>20 lakh (US$29,000)",""
"8",8,"6","Mahipal Lomror","","(1999-11-16) 16 November 1999 (age 20)","Left-handed","Slow left-arm orthodox","2018","<U+20B9>20 lakh (US$29,000)",""
"9",9,"37","Shreyas Gopal","","(1993-09-04) 4 September 1993 (age 26)","Right-handed","Right-arm leg break","2018","<U+20B9>20 lakh (US$29,000)",""
"10",10,"55","Ben Stokes","","(1991-06-04) 4 June 1991 (age 28)","Left-handed","Right-arm fast-medium","2018","<U+20B9>12.5 crore (US$1.8 million)","Overseas"
"11",11,"N/A","Rahul Tewatia","","(1993-05-20) 20 May 1993 (age 26)","Left-handed","Right-arm leg break","2020","<U+20B9>3 crore (US$430,000)",""
"12",12,"N/A","Yashasvi Jaiswal","","(2001-12-28) 28 December 2001 (age 17)","Left-handed","Left-arm leg break","2020","<U+20B9>2.4 crore (US$350,000)",""
"13",13,"N/A","Aniruddha Joshi","","(1987-11-07) 7 November 1987 (age 32)","Right-handed","Right-arm off break","2020","<U+20B9>20 lakh (US$29,000)",""
"14",14,"Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers"
"15",15,"8","Sanju Samson","","(1994-11-11) 11 November 1994 (age 25)","Right-handed","Right-arm medium","2018","<U+20B9>8 crore (US$1.2 million)",""
"16",16,"63","Jos Buttler","","(1990-09-08) 8 September 1990 (age 29)","Right-handed","Left Arm pace","2018","<U+20B9>4.4 crore (US$636,000)","Overseas"
"17",17,"N/A","Robin Uthappa","","(1985-11-11) 11 November 1985 (age 34)","Right-handed","Right-arm medium","2020","<U+20B9>3 crore (US$430,000)",""
"18",18,"N/A","Anuj Rawat","","(1999-10-17) 17 October 1999 (age 20)","Left-handed","N/A","2020","<U+20B9>80 lakh (US$116,000)",""
"19",19,"Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers"
"20",20,"22","Jofra Archer","","(1995-04-01) 1 April 1995 (age 24)","Right-handed","Right-arm fast-medium","2018","<U+20B9>7.2 crore (US$1.0 million)","Overseas"
"21",21,"22","Jaydev Unadkat","","(1991-10-18) 18 October 1991 (age 28)","Right-handed","Left-arm Last","2020","<U+20B9>3 crore (US$433,953.00)",""
"22",22,"77","Varun Aaron","","(1989-10-29) 29 October 1989 (age 30)","Right-handed","Right-arm fast","2019","<U+20B9>2.4 crore (US$347,000)",""
"23",23,"N/A","Andrew Tye","","(1986-12-12) 12 December 1986 (age 33)","Right-handed","Right-arm fast-medium","2020","<U+20B9>1 crore (US$145,000)","Overseas"
"24",24,"N/A","Tom Curran","","(1995-03-12) 12 March 1995 (age 24)","Right-handed","Right-arm fast-medium","2020","<U+20B9>1 crore (US$145,000)","Overseas"
"25",25,"N/A","Oshane Thomas","","(1997-02-18) 18 February 1997 (age 22)","Left-handed","Right-arm fast","2020","<U+20B9>50 lakh (US$72,325.50)","Overseas"
"26",26,"N/A","Ankit Rajpoot","","(1993-12-04) 4 December 1993 (age 26)","Right-handed","Right-arm fast-medium","2020","<U+20B9>3 crore (US$430,000)",""
"27",27,"N/A","Akash Singh","","(2002-04-26) 26 April 2002 (age 17)","Left-handed","Left Arm pace","2020","<U+20B9>20 lakh (US$29,000)",""
"28",28,"N/A","Kartik Tyagi","","(2001-11-04) 4 November 2001 (age 18)","Right-handed","Right Arm pace","2020","<U+20B9>1.3 crore (US$188,046.30)",""
"29",29,"N/A","Mayank Markande","","(1997-11-11) 11 November 1997 (age 22)","Right-handed","Right-arm leg break","2020","<U+20B9>20 lakh (US$29,000)",""
